MONGODB | Adding localhost:27017 to the cluster.
MONGODB | Connection refused - connect(2) for 127.0.0.1:27017
MONGODB | localhost:27017 | triresults_development.delete | STARTED | {"delete"=>"races", "deletes"=>[{"q"=>{}, "limit"=>0}], "ordered"=>true}
MONGODB | localhost:27017 | triresults_development.delete | SUCCEEDED | 0.002309s
MONGODB | localhost:27017 | triresults_development.delete | STARTED | {"delete"=>"racers", "deletes"=>[{"q"=>{}, "limit"=>0}], "ordered"=>true}
MONGODB | localhost:27017 | triresults_development.delete | SUCCEEDED | 0.00041600000000000003s
MONGODB | localhost:27017 | triresults_development.delete | STARTED | {"delete"=>"results", "deletes"=>[{"q"=>{}, "limit"=>0}], "ordered"=>true}
MONGODB | localhost:27017 | triresults_development.delete | SUCCEEDED | 0.000559s
MONGODB | localhost:27017 | triresults_development.insert | STARTED | {"insert"=>"races", "documents"=>[{"_id"=>BSON::ObjectId('569a58b8e301d083c3000000'), "next_bib"=>20, "n"=>"Upper Tract Iron", "loc"=>{"city"=>"Upper Tract", "state"=>"WV", "loc"=>{"type"=>"Point", "coordinates"=>[-79.258589, 38.794952]}}, "date"=>Tue...
MONGODB | localhost:27017 | triresults_development.insert | SUCCEEDED | 0.021236s
MONGODB | localhost:27017 | triresults_development.insert | STARTED | {"insert"=>"races", "documents"=>[{"_id"=>BSON::ObjectId('569a58b8e301d083c3000006'), "next_bib"=>20, "n"=>"Upper Tract Iron", "loc"=>{"city"=>"Upper Tract", "state"=>"WV", "loc"=>{"type"=>"Point", "coordinates"=>[-79.258589, 38.794952]}}, "date"=>Sun...
MONGODB | localhost:27017 | triresults_development.insert | SUCCEEDED | 0.000772s
MONGODB | localhost:27017 | triresults_development.insert | STARTED | {"insert"=>"races", "documents"=>[{"_id"=>BSON::ObjectId('569a58b8e301d083c300000c'), "next_bib"=>20, "n"=>"Upper Tract Iron", "loc"=>{"city"=>"Upper Tract", "state"=>"WV", "loc"=>{"type"=>"Point", "coordinates"=>[-79.258589, 38.794952]}}, "date"=>Fri...
MONGODB | localhost:27017 | triresults_development.insert | SUCCEEDED | 0.0008709999999999999s
